,name,alcohol_impaired_driving_deaths,high_school_graduation,unemployment,median_household_income,children_in_single_parent_households,social_associations,drug_overdose_deaths,disconnected_youth,homicides,suicides,population,population_density,below_18_years_of_age,X65_and_older,non_hispanic_black,american_indian_or_alaska_native,hispanic,female,excessive_drinking,adult_smoking
1,Autauga County,0.290909091,0.87,0.022695883,70148,0.227025064,12.69142906,9.350764717,0.072425052,6.616163287,17.4574792,59759,100.5273687,0.232283003,0.164109172,0.210110611,0.004718955,0.033819174,0.512960391,0.152378215,0.169
2,Baldwin County,0.361445783,0.886517139,0.023500472,71704,0.190512873,9.653397076,25.72942188,0.082482759,3.388202669,18.79012618,246435,155.0039734,0.208038631,0.219287033,0.082248869,0.008107615,0.050362165,0.512390691,0.164225636,0.15
3,Barbour County,0.314285714,0.8544098,0.040650407,41151,0.506604507,8.412113443,,,13.00581303,13.42681003,24706,27.9161324,0.203634745,0.206225209,0.471950134,0.007245204,0.050999757,0.471221566,0.122771979,0.25
4,Bibb County,0.153846154,0.88,0.02509741,54309,0.307133704,8.897984607,22.3857209,,9.535858005,17.05022054,22005,35.35112726,0.197455124,0.178050443,0.207361963,0.005725971,0.031765508,0.464894342,0.14785821,0.22
5,Blount County,0.130952381,0.979196278,0.022251512,60553,0.229694775,7.621822124,21.1735891,0.097330179,5.911679508,22.21925155,59512,92.28231301,0.227046646,0.190902675,0.017273827,0.006334857,0.100702379,0.502906977,0.149461148,0.196
6,Bullock County,0.269230769,0.825,0.028107159,35798,0.630464795,5.813953488,,,19.47094657,,10202,16.38046588,0.211037052,0.177808273,0.673397373,0.0093119,0.093511076,0.445892962,0.115288295,0.257
7,Butler County,0.283333333,0.8,0.034189005,41852,0.392772792,9.002330015,17.29026904,,17.4554341,11.88373813,18650,24.00756316,0.223967828,0.21538874,0.441876676,0.004718499,0.018284182,0.530080429,0.128211314,0.211
8,Calhoun County,0.104761905,0.919712644,0.030320763,52772,0.327191582,13.6239782,23.32048763,0.081869765,10.47013394,21.95714444,115788,191.1039373,0.211179051,0.186038277,0.220264622,0.005345977,0.043450099,0.513585173,0.135399058,0.208
9,Chambers County,0.25,0.865017241,0.025732756,45563,0.253272069,17.66017197,14.90164912,0.174021649,11.01909694,18.7018031,34088,57.14148642,0.207199014,0.207257686,0.392748181,0.004195025,0.0359364,0.523204647,0.128128424,0.203
10,Cherokee County,0.111111111,0.92,0.023426813,52613,0.292916401,9.201472236,20.64889141,,8.289170475,23.14907864,25302,45.71074644,0.186388428,0.244328512,0.039878271,0.008102126,0.020828393,0.496205834,0.143572902,0.222
11,Chilton County,0.229508197,0.89,0.022698115,61823,0.194818556,15.46141273,20.13437833,,5.157912722,16.19326166,45884,66.22628053,0.235703077,0.175398832,0.097245227,0.006320286,0.08473542,0.508347136,0.151319513,0.217
12,Choctaw County,0.428571429,0.925,0.038389949,44458,0.385985748,21.54312615,,,,,12439,13.61716935,0.197925878,0.245035775,0.407749819,0.002331377,0.012460809,0.524399067,0.11891855,0.223
13,Clarke County,0.341463415,0.925,0.050038991,44906,0.414037855,16.69595782,,0.225860621,10.79505586,17.68116555,22515,18.18041773,0.215767266,0.210037753,0.448678659,0.006351321,0.015944926,0.524317122,0.122903427,0.215
14,Clay County,0.476190476,0.825,0.022675367,49599,0.203092784,11.27554616,,,,29.34320915,14198,23.50808607,0.208691365,0.214114664,0.135582476,0.006198056,0.03183547,0.509226652,0.136978811,0.212
15,Cleburne County,0.24137931,0.975,0.024100309,49248,0.232443413,8.607561412,,,9.541165358,19.06098459,15346,27.39841229,0.228984752,0.19399192,0.028671967,0.004431122,0.026130588,0.501368435,0.145689917,0.207
16,Coffee County,0.274509804,0.920036232,0.025373895,62429,0.321451204,12.36755639,12.5198753,0.12138522,7.104485116,14.97281065,54805,80.71593798,0.237076909,0.173980476,0.163725937,0.01437825,0.090539184,0.502399416,0.146150782,0.185
17,Colbert County,0.310344828,0.914035917,0.030282694,54593,0.328012703,15.83324634,17.24896804,,4.922815436,18.43937606,58033,97.87109657,0.210638775,0.206520428,0.155032482,0.006858167,0.03522134,0.517722675,0.146715057,0.193
18,Conecuh County,0.125,0.925,0.035360679,36106,0.52660473,7.062146893,,,18.81047273,,11206,13.17919824,0.201945386,0.246564341,0.444583259,0.006692843,0.033374978,0.518293771,0.118530764,0.225
19,Coosa County,0.318181818,,0.025342005,49485,0.349819059,9.56937799,,,17.44100246,,10166,15.61815497,0.165945308,0.259492426,0.283297265,0.008066103,0.028034625,0.49695062,0.133543229,0.199
20,Covington County,0.195652174,0.950188917,0.026333157,46958,0.335198249,12.25882102,17.93673713,,6.133229068,19.8489984,37602,36.48658382,0.219722355,0.224775278,0.124993351,0.007978299,0.02143503,0.513802457,0.134685166,0.218
